index,Village_Area_Name,Beat Number,No of Crimes in Each Beat,UNITS,ASI,CHC,CPC,Crime Severity Weights of Beat
4570,Renuka hotel cross to Prakash talkij road,74,5,Belagavi,114,320,699,20.0
4578,Shivabhavan cross to station road to shanimandir road,66,7,Belagavi,114,320,699,18.0
4586,Bogarves cross to kirloskar road north,18,7,Belagavi,114,320,699,28.0
4594,Patil mal cross two,63,7,Belagavi,114,320,699,20.0
4600,Nartaki talkij cross to New good shed road,83,7,Belagavi,114,320,699,20.0
4608,Ramalingkhind galli south side upto Raghvendra mandir cross,50,10,Belagavi,114,320,699,20.0
4616,Deshpande galli south area,37,6,Belagavi,114,320,699,16.0
4622,Tangadi galli full area,69,1,Belagavi,114,320,699,4.0
4624,Mujawar galli cross second cross area,59,3,Belagavi,114,320,699,14.0
4628,Lingaraj Circle To Adarsh palace Hotel Collage Road,9,10,Belagavi,114,320,699,20.0
4636,Narvekar galli back side area,14,6,Belagavi,114,320,699,20.0
4642,Ganapat galli kadolkar galli cross to koli bazar area,29,8,Belagavi,114,320,699,20.0
4650,Sweety shop to maruti galli north side,31,3,Belagavi,114,320,699,10.0
4654,Shivaji road pavitra hotel cross to lalit lodge cross,61,4,Belagavi,114,320,699,10.0
4660,Mujawar galli cross third cross area,58,5,Belagavi,114,320,699,20.0
4668,Shastri nagar One cross full area,79,5,Belagavi,114,320,699,10.0
4674,SMP road cross to Ganesh Marg road up Ganesh Temple area,77,7,Belagavi,114,320,699,28.0
4684,Burud galli area,26,6,Belagavi,114,320,699,10.0
4690,Bapat galli car parking area,21,6,Belagavi,114,320,699,20.0
4698,Mujawar galli cross first cross area,60,5,Belagavi,114,320,699,10.0
4702,Swaroop Nartaki talkij side road up to Kapileshwar temple back side area,73,2,Belagavi,114,320,699,14.0
4706,Patil mal cross three,64,1,Belagavi,114,320,699,4.0
4708,Basawan galli Jain Basadi Back side,34,3,Belagavi,114,320,699,14.0
4712,Kambli khoot cross,30,11,Belagavi,114,320,699,20.0
4720,Kulkarni galli full area,43,3,Belagavi,114,320,699,10.0
4724,Shastri nagar Ganesh temple to five end area,78,4,Belagavi,114,320,699,20.0
4730,Basawan galli cross to tilak chowk west side area,40,6,Belagavi,114,320,699,20.0
4738,Kadolkar galli full area,27,7,Belagavi,114,320,699,20.0
4746,Gavali Galli to Khadebazar police station cross,11,1,Belagavi,114,320,699,4.0
4748,Konwal galli first cross,51,2,Belagavi,114,320,699,4.0
4750,Konwal galli CCB office back side cross,54,3,Belagavi,114,320,699,18.0
4756,Ansurkar galli south full area,33,3,Belagavi,114,320,699,10.0
4760,Kangral galli,7,4,Belagavi,114,320,699,14.0
4766,Shivaji road anupama hotel back side area,57,3,Belagavi,114,320,699,14.0
4770,Anantshayan galli area,41,7,Belagavi,114,320,699,20.0
4778,Tangadi galli to kapileswar road,70,6,Belagavi,114,320,699,20.0
4786,Chitra Hans talkij road central school,23,3,Belagavi,114,320,699,10.0
4792,Prakash Talkij cross atle chawl road full area,75,4,Belagavi,114,320,699,20.0
4800,Shastri nagar four cross east side,82,3,Belagavi,114,320,699,6.0
4802,Shastri nagar two cross full area up to Nartaki talkij,80,4,Belagavi,114,320,699,22.0
4810,Nuclius Mall to Konwal galli crosswest side area,49,2,Belagavi,114,320,699,16.0
4814,Meenaxi bhavan to station road south area,62,4,Belagavi,114,320,699,14.0
4820,Laxmi temple cross to Bandurgalli south,68,1,Belagavi,114,320,699,0.0
4822,Station road north to kangali galli east area,47,2,Belagavi,114,320,699,16.0
4826,Mannurkar galli area,15,2,Belagavi,114,320,699,6.0
4830,Shastri nagar three cross full area,81,2,Belagavi,114,320,699,6.0
4832,Shivaji road ganesh temple area,56,1,Belagavi,114,320,699,6.0
4834,Kalmath road cross to kulkarni galli cross area,42,2,Belagavi,114,320,699,6.0
4838,Mahaveer basti to shani mandir area,46,1,Belagavi,114,320,699,6.0
4840,Kulkarni galli cross to sheri galli cross,45,1,Belagavi,114,320,699,10.0
4842,Infront of Swaroop talkij road up to Atle chawl,76,1,Belagavi,114,320,699,10.0
4844,Swaroop nartaki talkij road back side area,72,1,Belagavi,114,320,699,10.0
4846,ANJANEYA NAGAR,03,24,Belagavi,114,320,699,22.0
4856,SHRI NAGAR,02,19,Belagavi,114,320,699,30.0
4868,KANBARAGI,06,13,Belagavi,114,320,699,28.0
4878,OLD GANDHINAGAR,05,23,Belagavi,114,320,699,28.0
4888,BASAVAN KUDACHI,07,16,Belagavi,114,320,699,28.0
4898,MAHANTESH NAGAR,01,22,Belagavi,114,320,699,28.0
4908,SHIVABASAVA NAGAR,04,21,Belagavi,114,320,699,30.0
4920,YAMANAPUR,09,9,Belagavi,114,320,699,20.0
4928,ALARWAD,08,6,Belagavi,114,320,699,28.0
4936,MAHANTESH NAGAR,10,5,Belagavi,114,320,699,20.0
4942,RAMTIRTH NAGAR,31,9,Belagavi,114,320,699,22.0
4950,VANTMURI COLONY,14,8,Belagavi,114,320,699,20.0
4958,ASHOK NAGAR,45,15,Belagavi,114,320,699,22.0
4968,SHRI NAGAR,11,18,Belagavi,114,320,699,30.0
4980,NEW GANDHI NAGAR,55,9,Belagavi,114,320,699,20.0
4988,AMAN NAGAR,58,9,Belagavi,114,320,699,30.0
4998,GYANGAWADI,38,5,Belagavi,114,320,699,20.0
5004,NEHARU NAGAR,41,9,Belagavi,114,320,699,20.0
5010,AZAD NAGAR,52,18,Belagavi,114,320,699,28.0
5020,ALARWAD JANATA PLOT,77,8,Belagavi,114,320,699,22.0
5030,UJWAL NAGAR,62,10,Belagavi,114,320,699,20.0
5038,KANBARAGI,67,11,Belagavi,114,320,699,28.0
5048,DEVARAJ ARAS COLONY,75,12,Belagavi,114,320,699,22.0
5058,vaddarawadi,40,12,Belagavi,114,320,699,28.0
5068,SHIVABASAV NAGAR,37,23,Belagavi,114,320,699,30.0
5080,RAMTIRTH NAGAR FSLTO KANABARGI,33,10,Belagavi,114,320,699,22.0
5088,ALARAVAD,76,10,Belagavi,114,320,699,22.0
5098,RAMTIRTH NAGAR,30,13,Belagavi,114,320,699,30.0
5108,KULAKARNI LEOUT,22,2,Belagavi,114,320,699,6.0
5110,RUKMINI NAGAR SLAM AREA,28,8,Belagavi,114,320,699,14.0
5116,KANBARAGI,68,7,Belagavi,114,320,699,22.0
5126,MARUTI NAGAR,60,15,Belagavi,114,320,699,30.0
5138,RAMTIRTH,23,13,Belagavi,114,320,699,28.0
5148,BASAVAN KUDACHI MAIN ROAD,71,11,Belagavi,114,320,699,30.0
5160,NEHARUNAGARKEB RMRC,44,6,Belagavi,114,320,699,28.0
5168,AUTO NAGAR DOUBLE ROAD,34,14,Belagavi,114,320,699,28.0
5178,GANGWADI,39,10,Belagavi,114,320,699,20.0
5184,KANBARAGI,66,11,Belagavi,114,320,699,20.0
5192,NEW GANDHI NAGAR,53,8,Belagavi,114,320,699,22.0
5200,NEW GANDHI NAGAR,54,6,Belagavi,114,320,699,24.0
5210,NEW GANDHI NAGAR,56,7,Belagavi,114,320,699,22.0
5218,RAMTIRTH NAGAR,32,8,Belagavi,114,320,699,28.0
5226,MALAMARUTI BADAVANE,21,5,Belagavi,114,320,699,10.0
5230,DEEPAK GALLI JOPADI PATTI,50,3,Belagavi,114,320,699,10.0
5236,NEHARU NAGAR,42,18,Belagavi,114,320,699,28.0
5246,MALAMARUTI BADAVANE ANJANEY NAGAR,20,15,Belagavi,114,320,699,30.0
5256,MALAMARUTI BADAVANE,19,9,Belagavi,114,320,699,20.0
5262,HINDALCO COLONY,36,8,Belagavi,114,320,699,28.0
5272,VANTMURI COLONY,15,4,Belagavi,114,320,699,20.0
5278,UJWAL NAGAR,65,7,Belagavi,114,320,699,22.0
5288,AMAN NAGAR,59,8,Belagavi,114,320,699,22.0
5298,MAHANTESH NAGAR,13,4,Belagavi,114,320,699,10.0
5302,VANTMURI JANATHA PLOT,16,7,Belagavi,114,320,699,20.0
5308,RUKMINI NAGAR,27,14,Belagavi,114,320,699,20.0
5316,YAMANAPUR,78,8,Belagavi,114,320,699,20.0
5324,SUBHAS GALLI OLD GANDHI NAGAR,47,9,Belagavi,114,320,699,20.0
5332,TANAJI GALLI BASAVAN KUDACHI,72,6,Belagavi,114,320,699,20.0
5340,RENUKA NAGAR,25,5,Belagavi,114,320,699,20.0
5346,DEEPAK GALLI,49,3,Belagavi,114,320,699,20.0
5352,MALAMARUTI BADAVANE,18,8,Belagavi,114,320,699,20.0
5358,AMBEDKER GALLI GANDHI GALLI,74,3,Belagavi,114,320,699,14.0
5362,OLD GHANDHI NAGAR,46,13,Belagavi,114,320,699,28.0
5372,AUTO NAGAR DOUBLE ROAD,35,11,Belagavi,114,320,699,30.0
5382,NEW RENUKA NAGAR,26,4,Belagavi,114,320,699,16.0
5388,UJAWAL NAGAR,64,5,Belagavi,114,320,699,10.0
5392,MALAMARUTI BADAVANE,17,5,Belagavi,114,320,699,16.0
5396,SAGAR COLONY,69,2,Belagavi,114,320,699,10.0
5400,AMBEDKER COLONY,12,1,Belagavi,114,320,699,6.0
5402,Gokul galli,61,4,Belagavi,114,320,699,20.0
5408,AMBEDKER COLONY AUTO NAGAR,29,1,Belagavi,114,320,699,6.0
5410,UJAWAL NAGAR,63,5,Belagavi,114,320,699,8.0
5414,REVUNNICOLONY,24,1,Belagavi,114,320,699,10.0
5416,ASREYA COLONY,70,1,Belagavi,114,320,699,4.0
5418,JAKRIYA GALLI GANDHI NAGAR,48,1,Belagavi,114,320,699,6.0
5420,KALAKAMB,3,24,Belagavi,114,320,699,30.0
5432,Sangli,1,32,Belagavi,114,320,699,30.0
5444,CHANDUR,2,19,Belagavi,114,320,699,28.0
5454,NILAJI VILLAGE,6,29,Belagavi,114,320,699,30.0
5466,HARNAKOLLA,4,11,Belagavi,114,320,699,30.0
5478,KARAVI,5,15,Belagavi,114,320,699,20.0
5486,BASARIKATTI,48,10,Belagavi,114,320,699,20.0
5494,MASTAMARDI,50,9,Belagavi,114,320,699,22.0
5504,MUTAGA,43,26,Belagavi,114,320,699,30.0
5516,TUMMARGUDDI,26,10,Belagavi,114,320,699,28.0
5526,MUCHANDI,21,12,Belagavi,114,320,699,28.0
5536,HUDLI,29,14,Belagavi,114,320,699,22.0
5546,SAMBRA,40,19,Belagavi,114,320,699,22.0
5556,KHANAGAV B K,15,8,Belagavi,114,320,699,20.0
5562,KALAKAMB,20,10,Belagavi,114,320,699,28.0
5572,ASHTE,23,10,Belagavi,114,320,699,22.0
5582,HUDLI,30,11,Belagavi,114,320,699,22.0
5592,HONNIHAL,8,14,Belagavi,114,320,699,22.0
5600,NILAJI,45,13,Belagavi,114,320,699,20.0
5608,BALEKUNDRI K H,9,15,Belagavi,114,320,699,20.0
5616,SULEBHAVI,13,14,Belagavi,114,320,699,20.0
5624,HARANKOLLA,32,5,Belagavi,114,320,699,14.0
5630,SHINDHOLLI,47,2,Belagavi,114,320,699,6.0
5632,KALAKAMB,19,11,Belagavi,114,320,699,22.0
5642,KHANAGAV K H,25,12,Belagavi,114,320,699,20.0
5648,SHINDHOLLI,46,17,Belagavi,114,320,699,22.0
5658,KABALAPUR,16,10,Belagavi,114,320,699,28.0
5668,SULEBHAVI,11,12,Belagavi,114,320,699,28.0
5678,YADDALBHAVIHATTI,14,4,Belagavi,114,320,699,14.0
5684,CHANDAGAD,24,11,Belagavi,114,320,699,28.0
5692,SAMBRA,41,13,Belagavi,114,320,699,28.0
5702,HULYANUR,33,6,Belagavi,114,320,699,28.0
5712,BALEKUNDRI K H,10,13,Belagavi,114,320,699,22.0
5722,MAVINAKATTI,49,5,Belagavi,114,320,699,20.0
5728,KABALAPUR,22,13,Belagavi,114,320,699,20.0
5736,RANGADOLLI,31,4,Belagavi,114,320,699,16.0
5742,SULEBHAVI,12,6,Belagavi,114,320,699,30.0
5754,KARVINAKUMPI,36,1,Belagavi,114,320,699,6.0
5756,KARIKATTI,17,7,Belagavi,114,320,699,30.0
5766,KARAVI,35,1,Belagavi,114,320,699,4.0
5768,BHARANATTI,38,3,Belagavi,114,320,699,16.0
5772,BUDRYANUR,34,2,Belagavi,114,320,699,16.0
5776,SAMBRA,42,6,Belagavi,114,320,699,22.0
5784,SIDDANAHALLI,18,1,Belagavi,114,320,699,10.0
5786,GOKUL NAGAR MUTAGA,44,5,Belagavi,114,320,699,8.0
5792,DHRANATTI,39,4,Belagavi,114,320,699,16.0
5798,SOMANATTI,27,2,Belagavi,114,320,699,16.0
5802,BHIMAGAD,28,2,Belagavi,114,320,699,16.0
5806,PANT NAGAR,7,3,Belagavi,114,320,699,6.0
5808,KRISHNADEVARAY CIRCLE,2,68,Belagavi,114,320,699,45.0
5826,CHURCH COMPOUND,3,58,Belagavi,114,320,699,45.0
5844,KAPILESHWAR CROSS,6,23,Belagavi,114,320,699,30.0
5856,OLD BHAJI MARKET,4,63,Belagavi,114,320,699,52.0
5877,FORT ROAD,5,13,Belagavi,114,320,699,28.0
5887,CENTRAL BUS STAND,18,21,Belagavi,114,320,699,28.0
5897,CHAVAT GALLI,28,19,Belagavi,114,320,699,28.0
5907,MONAPPA PAN SHOP MAHALXMI TEMPLE BASHIBAN COMPOUND KHADE BAZAR ROAD BENDI BAZAR CROSS,42,13,Belagavi,114,320,699,22.0
5917,DC OFFICE DIST COURT HALL LIC OFFICE LOKHAYUKT OFF NOWKARAR BHAVAN MARATHA MANDAL ADHAR HOSPITAL,26,24,Belagavi,114,320,699,30.0
5927,MATH GALLI KALMATH ROAD,59,10,Belagavi,114,320,699,22.0
5937,MAHADWAR ROAD FOURTH CROSS,72,5,Belagavi,114,320,699,20.0
5945,NEW BAJI MARKET KHIMJIBAI PETROL PUMP,19,12,Belagavi,114,320,699,30.0
5957,KAPILESHWAR COLONEY GANESH TEMPLE CROSS MAHATMA GANDHI PARK,81,9,Belagavi,114,320,699,20.0
5965,RAVIWAR PETH KARNATKA CHOWK,57,10,Belagavi,114,320,699,20.0
5973,FULBAG GALLI FIRST CROSS USHA TAI GOGATE SCHOOL,63,8,Belagavi,114,320,699,12.0
5981,SHIVAJI NAGAR ONE AND TWO CROSS,13,12,Belagavi,114,320,699,28.0
5989,MAHADWAROAD FIRST AND SECOND CROSS,70,13,Belagavi,114,320,699,28.0
5999,KAPILESHWAR COLONEY GANESH TEMPLE CROSS OLD PB ROAD,80,10,Belagavi,114,320,699,20.0
6007,MARKET AREA KANDA MAMRKET NARGUNDKAR BAVI CHOWK RAVIWAR PETH KARNATAKA CHOWK,56,11,Belagavi,114,320,699,20.0
6015,RTO OFFICE KSRTC DEPO FOREST OFFICE MARKET PS CIRCUIT HOUSE ASHOKA CIRCLE,17,22,Belagavi,114,320,699,30.0
6027,SHIVANAND POLICE CHOWKI KHADE BAZAR ROAD SK ELECTRICAL BHOL SHANIWAR KHOOT,41,13,Belagavi,114,320,699,28.0
6037,TANAJI GALLI,67,5,Belagavi,114,320,699,22.0
6047,ANJUMAN EDGA ANJUMAN COLLEGE METHODIST CHURCH COMPOUND SHARMAN SCHOOL,25,6,Belagavi,114,320,699,24.0
6053,KHOTHWAL GALLI,35,9,Belagavi,114,320,699,20.0
6061,KHANJAR GALLI,37,10,Belagavi,114,320,699,22.0
6071,SHIVAJI NAGAR SEVEN CROSS PANJIBABA FORT LAKE,16,13,Belagavi,114,320,699,28.0
6081,VEERBHDR NAGAR SIX AND SEVEN CROSS,7,11,Belagavi,114,320,699,28.0
6091,KASAIGALLI MARGAI TEMPLE CORPORETION COMPLEX,44,13,Belagavi,114,320,699,22.0
6101,DR AMBEDKAR GARDEN H'NBLE JUSTICE QRATERS CHANNAMMA CIRCLE,24,12,Belagavi,114,320,699,30.0
6113,KAPILESHWAR CROSS,10,10,Belagavi,114,320,699,20.0
6121,UDYAMBHAG,8,9,Belagavi,114,320,699,20.0
6127,BHATKHANDE GALLI BAJI MARKET,49,5,Belagavi,114,320,699,20.0
6135,MENSIGALLI,50,5,Belagavi,114,320,699,20.0
6143,KAMAT GALLI,52,8,Belagavi,114,320,699,30.0
6155,KHADAK GALLI,32,4,Belagavi,114,320,699,22.0
6161,MARATHAMANDAL POLY SHIVA HOTEL JAWAN QTR SHIVALAY TEMPLE,1,33,Belagavi,114,320,699,35.0
6173,SHETTY GALLI,34,6,Belagavi,114,320,699,20.0
6181,BADKALGALLI INDHIRA COLONEY,31,8,Belagavi,114,320,699,20.0
6189,TAHASHILDAR GALLI SOMANATH MANDIR CONGRESS OFFICE,65,4,Belagavi,114,320,699,20.0
6195,RAMA MESTRI ADDA SAMBHAJI GROUND,68,3,Belagavi,114,320,699,20.0
6201,SAMARTH NAGAR ONE AND TWO AND THREE CROSS,78,8,Belagavi,114,320,699,20.0
6209,DESHPANDE PETROL PUMP CROSS FORT ROAD,60,8,Belagavi,114,320,699,20.0
6217,JALGAR GALLI,33,6,Belagavi,114,320,699,20.0
6223,MALLIKARJUN NAGAR THREE AND FOUR CROSS,76,2,Belagavi,114,320,699,16.0
6227,GOVT MARATHI SCHOOL DORGALLI RAJWADA ROAD,27,7,Belagavi,114,320,699,16.0
6231,TENGINKERi GALLI,45,7,Belagavi,114,320,699,18.0
6237,MAHADWAR ROAD FIVE CROSS OLD PB ROAD MANICBAG,73,7,Belagavi,114,320,699,20.0
6243,DARBAR GALLI,38,10,Belagavi,114,320,699,30.0
6255,KHOLLAPUR CIRCLE AYODYA NAGAR VIJAYA HOSPITAL PRABHA HOSPITAL SKY ZONE,22,17,Belagavi,114,320,699,30.0
6267,BHANDUR GALLI,66,6,Belagavi,114,320,699,20.0
6273,PANGULGALLI BHOVI GALLI,48,9,Belagavi,114,320,699,22.0
6283,KHATALGALLI KHATAL SHAVALI DARGA COMPOUND,53,3,Belagavi,114,320,699,16.0
6287,KILLA,20,11,Belagavi,114,320,699,22.0
6295,FULBAG GALLI SECOND CROSS,64,5,Belagavi,114,320,699,16.0
6299,BHARTESH EDUCATION SOCIETY ABHAYA PATIL RISE MILL RAILWAY TRACK,21,9,Belagavi,114,320,699,20.0
6307,BENDI BAZAR,46,4,Belagavi,114,320,699,22.0
6313,SAMBHAJI GALLI,69,2,Belagavi,114,320,699,16.0
6317,VEERBHDRNAGAR FOUR AND FIVE,9,5,Belagavi,114,320,699,22.0
6325,A K DESHPANDE GALLI PIMPALKATTA MOSQUE BACK SIDE BHOL USHATAI GOGATE SCHOOL,61,3,Belagavi,114,320,699,16.0
6331,PATIL GALLI,62,5,Belagavi,114,320,699,16.0
6337,KAKARGALLI CHAJJU GALLI,40,5,Belagavi,114,320,699,20.0
6343,SHIVAJI NAGAR THREE AND FOUR CROSS,14,12,Belagavi,114,320,699,20.0
6349,KALAIGAR GALLI,55,6,Belagavi,114,320,699,16.0
6355,SAMARTH NAGAR FOUR AND FIVE AND SIX CROSS,79,8,Belagavi,114,320,699,22.0
6365,DIST PANCHAYAT OFF AC OFFICE KOLI GALLI,29,3,Belagavi,114,320,699,6.0
6367,SHIVAJI NAGAR FIVE AND SIX CROSS,15,7,Belagavi,114,320,699,28.0
6377,JAIN BOARDING MANICBAG PETROL PUMP,75,4,Belagavi,114,320,699,10.0
6383,AZAD GALLI,54,6,Belagavi,114,320,699,28.0
6393,VEERBHDRNAGAR FIRST CROSS,12,3,Belagavi,114,320,699,16.0
6397,MALI GALLI,51,3,Belagavi,114,320,699,6.0
6401,BHAGWAN GALLI,39,3,Belagavi,114,320,699,16.0
6405,PIMPAL KATTA KALAIGAR GALLI CROSS KARNATAKA CHOWK MALI GALLI DELIP STORE,58,3,Belagavi,114,320,699,14.0
6409,GRAVE BLANK PLACE SP OFF BANGLOW HDFC BANK INCOME TEX DEPT POLICE GROUND,23,2,Belagavi,114,320,699,10.0
6413,GHEE GALLI,36,1,Belagavi,114,320,699,10.0
6415,MANICBAG PETROLPUMP BACK ENGINEERING NALA,77,2,Belagavi,114,320,699,16.0
6419,KASAI KADDA,47,4,Belagavi,114,320,699,20.0
6425,KUNCHIGANAL,other,1,Belagavi,114,320,699,6.0
6427,MALLIKARJUN NAGAR ONE AND TWO CROSS,74,2,Belagavi,114,320,699,10.0
6431,ASADKHAN AND FARUKIYA COLONEY,11,3,Belagavi,114,320,699,16.0
6435,MAHADWAROAD THIRD CROSS,71,2,Belagavi,114,320,699,8.0
6439,MOMINGALLI SHEETAL HOTEL URDU SCHOOL,43,1,Belagavi,114,320,699,6.0
6441,SHAHAPUR,1,17,Belagavi,114,320,699,22.0
6451,SHAHAPUR,3,29,Belagavi,114,320,699,30.0
6463,VADAGAON,5,29,Belagavi,114,320,699,30.0
6475,SHAHAPUR,2,29,Belagavi,114,320,699,22.0
6485,KHASABAG,6,12,Belagavi,114,320,699,28.0
6495,SHAHAPUR,4,30,Belagavi,114,320,699,30.0
6507,SHAHAPUR,7,1,Belagavi,114,320,699,4.0
6509,Anagol,6,21,Belagavi,114,320,699,30.0
6521,Tilakwadi,2,17,Belagavi,114,320,699,28.0
6531,Hindwadi,4,19,Belagavi,114,320,699,28.0
6541,RPD. cross,5,19,Belagavi,114,320,699,28.0
6551,Savarkar road.,1,22,Belagavi,114,320,699,30.0
6563,Tilakwadi,3,19,Belagavi,114,320,699,30.0
6575,Mandoli road,8,8,Belagavi,114,320,699,26.0
6585,Savarkar road,7,11,Belagavi,114,320,699,28.0
6595,SOCIETY MARG HINDWADI,28,4,Belagavi,114,320,699,16.0
6601,SOMAWARPETH RPD CROSS KHANAPUR ROAD,16,17,Belagavi,114,320,699,28.0
6611,Bhagya Nagar IV AND V TH CROSS,39,4,Belagavi,114,320,699,10.0
6615,KONAWAL GALLI,68,4,Belagavi,114,320,699,22.0
6623,KANAKDAS COLONY,66,3,Belagavi,114,320,699,14.0
6627,JAI MAHARASTRA CHOUK BANDUR GALLI,58,4,Belagavi,114,320,699,14.0
6631,Bhagya Nagar Xth Cross,42,3,Belagavi,114,320,699,6.0
6635,Parijat Colony,45,5,Belagavi,114,320,699,16.0
6641,ANGOL NAKA TO MARATHI SCHOOL CROSS,48,13,Belagavi,114,320,699,30.0
6653,GANESH MARG ONE TO TWO,25,7,Belagavi,114,320,699,20.0
6659,SAI MANDIR CORPORATION QTRS,20,9,Belagavi,114,320,699,20.0
6667,RANADE ROAD HOSAMANI CHAL PAWAR CHAL RAGHAVENDRAMATH,13,4,Belagavi,114,320,699,16.0
6671,JAIN BASADI ROAD,34,1,Belagavi,114,320,699,10.0
6673,WADDAR GALLI,49,5,Belagavi,114,320,699,20.0
6679,Chougalewadi Kaivalya Nagar,10,6,Belagavi,114,320,699,24.0
6687,INDRAPRASTA NAGAR,22,8,Belagavi,114,320,699,28.0
6695,BABALE GALLI,55,8,Belagavi,114,320,699,20.0
6703,RAGHUNATH PETH,52,14,Belagavi,114,320,699,28.0
6713,SAHYDRI COLONY,44,4,Belagavi,114,320,699,16.0
6717,BUDA COLONY BIG BAZAR KHANAPUR ROAD,19,11,Belagavi,114,320,699,28.0
6727,SARAF COLONY,23,7,Belagavi,114,320,699,20.0
6735,RPD COLLEGE,35,9,Belagavi,114,320,699,20.0
6743,GURUDWAR,21,9,Belagavi,114,320,699,20.0
6751,BHAGYA NAGAR VI AND VII CROSS,40,1,Belagavi,114,320,699,6.0
6753,ANANDAWADI,29,7,Belagavi,114,320,699,20.0
6761,MANGALWARPETH GAVALI GALLI,17,10,Belagavi,114,320,699,28.0
6771,Maharsi road Neharu road Marathi School,12,4,Belagavi,114,320,699,20.0
6777,BUDHAWARPETH GURUWAR PETH,18,13,Belagavi,114,320,699,22.0
6787,RPD COLLEGE ROAD,30,7,Belagavi,114,320,699,20.0
6793,Bhagy Nagar One cross to Seven cross,36,19,Belagavi,114,320,699,22.0
6803,CONGRESS ROAD CHATRAPATI SHIVAJI ROAD HINDU NAGAR,14,9,Belagavi,114,320,699,28.0
6813,Rayroad Lile Ground Agarkar road Post office Vaccion depo,11,13,Belagavi,114,320,699,30.0
6825,Adarsh Nagar Four to Sevan Cross,32,5,Belagavi,114,320,699,20.0
6833,Ayodhya Nagar Godsewadi,9,8,Belagavi,114,320,699,22.0
6841,Bhagya Nagar VIII TO IX th Cross,41,5,Belagavi,114,320,699,20.0
6847,AMBEDKAR GALLI,67,13,Belagavi,114,320,699,28.0
6857,MUSLIM GALLI,54,7,Belagavi,114,320,699,20.0
6865,RAJHUNS GALLI,51,8,Belagavi,114,320,699,20.0
6873,GULMOHAR COLONY,46,7,Belagavi,114,320,699,20.0
6879,KURABAR GALLI,50,8,Belagavi,114,320,699,22.0
6889,BHAGYA NAGAR IST CROSS HAJJUGERI GALLI,37,7,Belagavi,114,320,699,20.0
6897,SUBHAS GALLI,59,3,Belagavi,114,320,699,14.0
6901,HANAMANNAVAR GALLI,62,8,Belagavi,114,320,699,28.0
6911,MARUTI GALLI,63,6,Belagavi,114,320,699,20.0
6919,R K MARG ONE TO FOUR,26,6,Belagavi,114,320,699,24.0
6925,REHAMAT NAGAR SHIVASHAKTI NAGAR,53,5,Belagavi,114,320,699,16.0
6933,SANTAMEERA SCHOOL SANTAMEERA COLONY,43,9,Belagavi,114,320,699,20.0
6941,HINDAWADI,24,12,Belagavi,114,320,699,20.0
6949,Bhagya Nagar II AND III RD CROSS,38,2,Belagavi,114,320,699,10.0
6953,RAVINDRANATH TAGORE RANA PRATAP CHATRAPATI SHIVAJI ROAD,15,3,Belagavi,114,320,699,20.0
6959,Nath pai Nagar Nath pai Kere,56,3,Belagavi,114,320,699,14.0
6965,SARVODAY MARG,31,4,Belagavi,114,320,699,16.0
6971,BENDIGERI GALLI,60,1,Belagavi,114,320,699,4.0
6973,Gummat mal Water tank,33,4,Belagavi,114,320,699,10.0
6977,LOHAR GALLI VISHVAKARMA COLONY,57,2,Belagavi,114,320,699,14.0
6981,MRUTYUNJAY NAGAR,47,1,Belagavi,114,320,699,6.0
6983,ROHIDAS NAGAR,01,16,Belagavi,114,320,699,20.0
6991,CHIDAMAR NAGAR,03,12,Belagavi,114,320,699,28.0
7001,RAJARAM NAGAR,02,23,Belagavi,114,320,699,28.0
7011,RANICHANNAMMA NAGAR,05,13,Belagavi,114,320,699,30.0
7021,NEAR USATV HOTEL R.C NAGAR,04,11,Belagavi,114,320,699,28.0
7029,OUT OF STATE,00,1,Belagavi,114,320,699,6.0
7031,RANI CHANNAMMA NAGAR SECOND STAGE GARDEN TO LAXMI TEMPLE OPPOSITE ROAD MIDDLE AREA GALAGALI HOUSE,48,3,Belagavi,114,320,699,16.0
7037,INDUSTRIAL SAMUDAY BHAVAN ROAD TO UTSAV CROSS DOUBLE ROAD C SCHEME,41,13,Belagavi,114,320,699,28.0
7047,SUBHASH CHANDRA NAGAR,42,10,Belagavi,114,320,699,22.0
7057,BEMCO CROSS TO INDUSTRIAL SAMUDAY BHAVAN ROAD AND JOPADAPATTI WALMIKI NAGAR,40,13,Belagavi,114,320,699,28.0
7067,RAJARAM NAGAR FIRST STAGE CROSS No ONE AND TWO,36,7,Belagavi,114,320,699,20.0
7073,DEVENDRA NAGAR UDYAMBAG,35,6,Belagavi,114,320,699,20.0
7079,INDIRA NAGAR ANAGOL,06,4,Belagavi,114,320,699,18.0
7085,PARVATI NAGAR,56,8,Belagavi,114,320,699,22.0
7095,G I T COLLEGE ROAD TO KHADARAWADI CROSS UDYAMBAG,34,10,Belagavi,114,320,699,20.0
7101,GIT COLLEGE CROSS TO BABU CANTEEN,38,12,Belagavi,114,320,699,22.0
7111,MARUTI GALLI AND LAXMI GALLI MAJAGAVI,23,4,Belagavi,114,320,699,20.0
7117,BEMCO CROSS PUROHIT SWEET MART TO BANK OF BARODA ROAD INDUSTRIAL AREA,13,8,Belagavi,114,320,699,28.0
7127,GULLAVAN HALLA TO SUKHASHANTI MANGAL KARYALAY MAHAVEER NAGAR,32,11,Belagavi,114,320,699,22.0
